cue_index,audio_onset_sample,audio_onset_time_sec,eog_activity_start_sample,eog_activity_start_time_sec,eog_activity_end_sample,eog_activity_end_time_sec,neurokit_peak_sample,neurokit_peak_time_sec,neurokit_peak_value,neurokit_peak_abs_value,neurokit_event_polarity,merged_neurokit_events,eog_detection_source,eog_detection_signal_mode,eog_derivative_lowpass_hz,label_transition_sample,label_transition_time_sec,audio_to_eog_offset_sec,eog_activity_peak_value,used_audio_fallback,eog_label_event_sample,eog_label_event_time_sec,label_start_sample,label_end_sample,label_start_time_sec,label_end_time_sec,label,label_name,eog_activity_peak_value_label
25,37648,188.24,37682,188.41,37737,188.685,37699,188.495,0.11509029919792423,0.11509029919792423,1,1,"NeuroKit2 eog_clean/eog_findpeaks/eog_features (clean=neurokit, peaks=brainstorm)",normalized_derivative_lowpass,10.0,37737,188.685,0.445,0.11509029919792423,False,37737,188.685,37737,39143,188.685,195.715,0,Eyes Open,0.11509029919792423
26,39044,195.22,39077,195.385,39143,195.715,39098,195.49,0.09616671152036908,0.09616671152036908,-1,1,"NeuroKit2 eog_clean/eog_findpeaks/eog_features (clean=neurokit, peaks=brainstorm)",normalized_derivative_lowpass,10.0,39143,195.715,0.495,0.09616671152036908,False,39143,195.715,39143,40739,195.715,203.695,1,Eyes Closed,0.09616671152036908
27,40656,203.28,40691,203.455,40739,203.695,40708,203.54,0.14659079708830675,0.14659079708830675,1,1,"NeuroKit2 eog_clean/eog_findpeaks/eog_features (clean=neurokit, peaks=brainstorm)",normalized_derivative_lowpass,10.0,40739,203.695,0.415,0.14659079708830675,False,40739,203.695,40739,42155,203.695,210.775,0,Eyes Open,0.14659079708830675
28,42048,210.24,42074,210.37,42155,210.775,42093,210.465,0.09686108540139664,0.09686108540139664,-1,1,"NeuroKit2 eog_clean/eog_findpeaks/eog_features (clean=neurokit, peaks=brainstorm)",normalized_derivative_lowpass,10.0,42155,210.775,0.535,0.09686108540139664,False,42155,210.775,42155,43627,210.775,218.135,1,Eyes Closed,0.09686108540139664
29,43536,217.68,43581,217.905,43627,218.135,43597,217.985,0.12989818623197422,0.12989818623197422,1,1,"NeuroKit2 eog_clean/eog_findpeaks/eog_features (clean=neurokit, peaks=brainstorm)",normalized_derivative_lowpass,10.0,43627,218.135,0.455,0.12989818623197422,False,43627,218.135,43627,44797,218.135,223.985,0,Eyes Open,0.12989818623197422
30,44676,223.38,44714,223.57,44797,223.985,44734,223.67,0.08756940258119111,0.08756940258119111,-1,1,"NeuroKit2 eog_clean/eog_findpeaks/eog_features (clean=neurokit, peaks=brainstorm)",normalized_derivative_lowpass,10.0,44797,223.985,0.605,0.08756940258119111,False,44797,223.985,44797,46571,223.985,232.855,1,Eyes Closed,0.08756940258119111
31,46488,232.44,46524,232.62,46571,232.855,46540,232.7,0.11212208612103763,0.11212208612103763,1,1,"NeuroKit2 eog_clean/eog_findpeaks/eog_features (clean=neurokit, peaks=brainstorm)",normalized_derivative_lowpass,10.0,46571,232.855,0.415,0.11212208612103763,False,46571,232.855,46571,48456,232.855,242.28,0,Eyes Open,0.11212208612103763
32,48344,241.72,48344,241.72,48456,242.28,48218,241.09,0.11597838615059247,0.11597838615059247,-1,3,"NeuroKit2 eog_clean/eog_findpeaks/eog_features (clean=neurokit, peaks=brainstorm)",normalized_derivative_lowpass,10.0,48456,242.28,0.56,0.11597838615059247,False,48456,242.28,48456,49390,242.28,246.95,1,Eyes Closed,0.11597838615059247
33,49312,246.56,49336,246.68,49390,246.95,49356,246.78,0.10661309617889356,0.10661309617889356,1,1,"NeuroKit2 eog_clean/eog_findpeaks/eog_features (clean=neurokit, peaks=brainstorm)",normalized_derivative_lowpass,10.0,49390,246.95,0.39,0.10661309617889356,False,49390,246.95,49390,50654,246.95,253.27,0,Eyes Open,0.10661309617889356
34,50536,252.68,50568,252.84,50654,253.27,50586,252.93,0.10149875593856962,0.10149875593856962,-1,1,"NeuroKit2 eog_clean/eog_findpeaks/eog_features (clean=neurokit, peaks=brainstorm)",normalized_derivative_lowpass,10.0,50654,253.27,0.59,0.10149875593856962,False,50654,253.27,50654,52427,253.27,262.135,1,Eyes Closed,0.10149875593856962
35,52356,261.78,52394,261.97,52427,262.135,52410,262.05,0.14135879907415105,0.14135879907415105,1,1,"NeuroKit2 eog_clean/eog_findpeaks/eog_features (clean=neurokit, peaks=brainstorm)",normalized_derivative_lowpass,10.0,52427,262.135,0.355,0.14135879907415105,False,52427,262.135,52427,54292,262.135,271.46,0,Eyes Open,0.14135879907415105
36,54180,270.9,54213,271.065,54292,271.46,54232,271.16,0.10060390714112313,0.10060390714112313,-1,1,"NeuroKit2 eog_clean/eog_findpeaks/eog_features (clean=neurokit, peaks=brainstorm)",normalized_derivative_lowpass,10.0,54292,271.46,0.56,0.10060390714112313,False,54292,271.46,54292,55266,271.46,276.33,1,Eyes Closed,0.10060390714112313
37,55184,275.92,55220,276.1,55266,276.33,55238,276.19,0.12132424028248576,0.12132424028248576,1,1,"NeuroKit2 eog_clean/eog_findpeaks/eog_features (clean=neurokit, peaks=brainstorm)",normalized_derivative_lowpass,10.0,55266,276.33,0.41,0.12132424028248576,False,55266,276.33,55266,56293,276.33,281.465,0,Eyes Open,0.12132424028248576
38,56180,280.9,56208,281.04,56293,281.465,56228,281.14,0.11440446339930818,0.11440446339930818,-1,1,"NeuroKit2 eog_clean/eog_findpeaks/eog_features (clean=neurokit, peaks=brainstorm)",normalized_derivative_lowpass,10.0,56293,281.465,0.565,0.11440446339930818,False,56293,281.465,56293,58276,281.465,291.38,1,Eyes Closed,0.11440446339930818
39,58204,291.02,58233,291.165,58276,291.38,58250,291.25,0.10546416283413793,0.10546416283413793,1,1,"NeuroKit2 eog_clean/eog_findpeaks/eog_features (clean=neurokit, peaks=brainstorm)",normalized_derivative_lowpass,10.0,58276,291.38,0.36,0.10546416283413793,False,58276,291.38,58276,60000,291.38,300.0,0,Eyes Open,0.10546416283413793
